GMSY,Uthlande
BAWC,Bemik
SKL,RageTwisted
LWAE,Santaslittlehelper
FIJI,EMPOWERED
fiji,CallMehPain
L,wuldor
KILL,LastKaze
SMUK,Chillyphilly
1KPM,Felszi
NMA,DreamkillerXD
SMAQ,AnnoyingBen
UVOC,FalconEye
RITE,031TA
RITE,MasterOfDisguise
PRAE,krakkalakkin
1RPC,Omnicias
PN,HeftyBandit
BAX,Zangief
FIJI,Groupies
WHO,k2az
T1DE,Mmoocows
FEFA,GoblinRum
PN,Ccdmc
EoTo,BegongSGM
PN,Hanspie
RPN,n8kennedy
oNRo,TotallyNotDelta
PRAE,Siegel
fiji,Lucazbo
fiji,LoveThatLiberator
ORAX,uneasyirish
PRAE,lstalri
HZN,DeltaFX
ATP,Spy
PN,revthedev
RITE,Ryyuuuu
AM00,WarHamma
WHO,Panduuuh
FATE,ArtoriaPendragon
FRMD,ASlabOfBacon
1RPC,Mauti
WNTG,Lethisandra
ATP,RTillery
FEFA,Niccom17
CSG,Thundey
FIJI,Synovus
PN,ThirdBreath
FU,ChopSuey
fiji,Anethual
1337,Snake
FRMD,iir
FRMD,Weavers73
FRMD,N4ye
NE0N,RCx03
FRMD,Epiziarh
PN,Devilay
S3X1,Epicben07
J0KE,Moonz
RMIS,Amerikako
JEDl,Dantecool
00,RaFALeF1
VAST,Kayh
KILL,BigNasty
DA,TheSovietAmbassador
ISNC,Acris
PW3R,CrimsonFaust
RPN,TriqXster
RPN,RecTeam
GSLD,RexRex
SYN,NightStorm
PN,VitaminPutin87
VKTZ,Apollo
FEFA,TarenLash
ASTI,Reposas
FEFA,TandBinc
PN,GhostEcho
NCAV,Braoin
FACS,Thewarlord
1RPC,Massi
1KPM,Ashen
FRMD,SeniorBrotherRO
1RPC,Nero
PN,Generic
PN,Karrru
1RPC,Elysio
1RPC,0xton
PRAE,Pablo
RE4,Shakma
PN,lilVanna
FRMD,Bunion
1RPC,Marcassin
1RPC,Falchun
GenZ,plAyed
EDIM,Figoravn
RESK,DrinkMoreWater
PN,had3z
T,Geilo
PN,Valcanix
NCAV,IStealYoDuck
PN,JJBoomStick
PN,Aniket
PRAE,bytefail
1RPC,Mamelouk
UVOC,DeltaSight
1337,Hejbl
NCAV,Wh1t3TiG3r
RPN,Facerollol
8o0D,Zie7777
DIG,Sandoorus
EDIM,Zazw64K
SHTR,swclone
RE4,HoneybadgerStoleMyReaver
JEDl,Dalton
1RPC,ursuak
8SEC,Froppy
LBTY,BallOfPanda
NMA,FeelsB4dM4n
NCAV,AWalkingDisaster
4,mindgame
PN,Unholyreaver
CATH,kRosZ
FUoC,nitus
20r,MistaLeo
LBTY,Azureclad
1RPC,Antho25
00,Rem
PN,Orivar
SW2G,5ulu
LBTY,Blaxxen
SYN,Mjolnir
DD12,FatherTime
HELP,Eyelander
PN,Leonpg
HELP,EdubsMcCool
RITE,Etanstar
BAWC,Droperix
BWAE,Dull
BGTT,Elouan121
1703,Silvainius
N0PR,Healz
PN,W4LKER
H0UR,Jucosar
JEDI,Surtak
GSLD,AscendanceTV
BWAE,Geterfix
fiji,HaiLStr0m
WNTG,Haldyl
VCBC,kurohagane
ELME,Murme
RPN,nuckles
TWC2,Trulius
NE0N,CannonMcFoddercins
fiji,Khorror
T,Hexoce
TATF,Ethane
NSMR,Fio
DIG,ImmortalDefender
95TH,Edersa
PRAE,Tome
SITH,Terran
TAN0,Lasskii
fiji,GoblinFan
WNTG,SalaHyena
fiji,DeeTeeBee
PN,Rexecution
CATH,Romaaan
95SS,LukaRaos
BAWC,Aysom
I,Jotunn
fiji,JackTheCrack
Term,Term
EU,MasterBob
1RPC,Tizoux
SMAQ,UnEXtream
ICAE,Valryn
NY4N,INeedASensei
e,dee
WNTG,ntgr8
SKL,Calamity
SKIC,AlphaRastor
LBTY,QuinnMain
RSG,ValkyrieSkies
BJAY,Sunshine
ICAE,Humppaveikko
1RPC,0ural
MAG3,HyTecs
PN,TheBigMotherFook
AIM,Colin
PN,Yoda
SUES,savetheturtlesthx 
8SEC,Saitama
XTAC,Itzi
R3ST,Ascender
MGS1,Kylo
PN,Mataus
95TH,oneshot
95TH,Xzan187
LBTY,HeatLighting
T1DE,Crewarke
2RAF,TheFlyIsALizard
95TH,Garrethh
BAWC,DeadlyCookie
PREY,iam4peace
RE4,Integrity
ICAE,Danbee02
PN,iStormm
PN,Hagloping
luki,luki
WNTG,Hawklight
95TS,Husk
SKIC,AlgizRastor
NE0N,Antivurgh
iFCU,Shuell
CATH,Donserval
PN,T4F
WHO,SmexySmurff
I,Rikert
EDIM,Havok
PN,Ratgard
PN,MaverickTex
BJAY,ItsNotFatItIsFLUFFY
BJAY,Aerro
BJAY,Elliot
1RPC,Gwaz
BJAY,Anders
PN,PurdueSpoiler
VVAR,ToastyMan
1KPM,illshagyoum8
PN,Selano
RITE,TheJerry
BGTT,Darkyosos
BWAE,EternalRebel
UBGL,Fleshious
WNTG,CanadianFrost
LBTY,AnnaBobanna
TAN0,Teheca
ORAX,Bootsthegamer
ORAX,COBRAMAX
1RPC,escaflown
PN,Novantron
MAKI,Aurum
iFCU,Silkosh
BRTD,Errgh
Lim4,Oblvioni
BART,Ozheiim
BWAE,Krog
CATH,CreativeHammer
AT7,Lesyion
PN,brakenium
CATH,Arro
1KPH,Ginnung
1KPH,Holly
CATH,Sixx
PN,Probical
BWAE,Meatshield
PN,LimaJones
GMSY,schlachter
BGTT,MrTomahawk
PN,Pinhead
GSLD,Swinoes
BJAY,V3nd3l
ACRE,Power
PRAE,mmentality
FlGA,Mandarino
BWAE,PostIronicPosadist
PSET,bregsi
TFDN,itzFenrir
ORAX,Dirkofnurn
BJAY,Attukuna
ACRE,Twonky
TFDN,TheIronKraigen
1KPH,Reso
RPN,Jarmo
GMSY,AlterSchwede
B2,Joker9000
DIGT,Impack
PN,Compu
1KPM,Kerk
GSLD,ElBisen
NREE,Dayna
ACRE,BloodWork
B2,M1ghtyW0lf
ORAX,Hammie65
DIG,Novaflex
1KPH,Blacky
WHO,RoryMercury
PN,ISunRise
0RDR,Species
OINK,Daddy
TFDN,Ualati
VKTZ,Splish
TFDN,DocRalph
ORAX,JebOfKerbin
BWAE,SherBear
VCBC,Yippys
VCBC,FortressSideDK
D4RK,KhorneFlakez
PW3R,Azagarx
DIOR,FatBuddha
ZERG,ILLEST
PN,GrillGames
FNXS,Gilleez
1KPH,FluttyBoy
CIK,StrokeTN
EDIM,w0fie
GNY,Dux
PN,Anov
DIG,EnglishMoron
CIK,ACGspartan117
FRMD,SzendvicsWarrior
PN,Efromd
FGS1,Varriius
WNTG,Sleet
PN,Pegasus
VCBC,GenericIceGuy
PN,Tuna
VKTZ,Akira
DIGT,hoenald
PN,WutNakaMei
PN,Queryl
fiji,OneDay
CFRS,Kporal
VKTZ,SandwichPolice
PN,Nakiar
ORAX,Vonvolfie
ASTI,0wl
1RPC,Blueco
ASTI,OrganicGlen
KILL,Niceu 
KILL,Gunker
D1RE,DiamondWing
PN,Vonne#3238
MERC,Donahew
PN,CreativeName
CIK,Arculum
D1RE,Noble
BWAE,ElReyZero
MERC,Stonewalljones
SKL,PrincessPaul
BWAE,Itsyaboygameboy
FNXS,Mantraion
SYN,Zulfur
MERC,Lepalose
KILL,M4WG3R
OHTG,TrueFlameslinger
CIK,LogRabbit
SYN,DrakenBryn2
PRAE,CritCommand
SYN,REDACTED
HMRD,Gefardino
MERC,FroyoBaggins
SYN,Psyquick
PN,Freakz
SYN,jd0g558
